date,t1,c1,p1,sal,sv
20211003T000201.725Z,9.4635,3.39964,97.318,31.2657,1484.927
20211003T000202.714Z,9.4636,3.39964,97.316,31.2656,1484.927
20211003T000203.764Z,9.4636,3.39962,97.316,31.2654,1484.927
20211003T000204.713Z,9.4635,3.39962,97.316,31.2655,1484.927
20211003T000205.735Z,9.4633,3.39962,97.316,31.2656,1484.926
20211003T000206.713Z,9.4632,3.39961,97.316,31.2656,1484.926
20211003T000207.801Z,9.4631,3.39961,97.316,31.2658,1484.926
20211003T000208.715Z,9.4632,3.39961,97.316,31.2657,1484.926
20211003T000209.810Z,9.4632,3.39961,97.316,31.2657,1484.926
20211003T000210.714Z,9.4632,3.39961,97.316,31.2656,1484.926
20211003T000211.721Z,9.4631,3.39962,97.317,31.2659,1484.926
20211003T000212.713Z,9.4627,3.39962,97.316,31.2662,1484.925
20211003T000213.719Z,9.4624,3.39963,97.316,31.2665,1484.924
20211003T000214.714Z,9.462,3.39961,97.316,31.2667,1484.923
20211003T000215.766Z,9.4618,3.39962,97.316,31.2669,1484.922
20211003T000216.715Z,9.4617,3.39961,97.316,31.267,1484.922
20211003T000217.739Z,9.4615,3.39962,97.315,31.2672,1484.922
20211003T000218.714Z,9.4614,3.39961,97.316,31.2673,1484.921
20211003T000219.807Z,9.4611,3.39962,97.315,31.2675,1484.921
20211003T000220.716Z,9.4611,3.39961,97.315,31.2675,1484.921
20211003T000221.730Z,9.4613,3.39961,97.316,31.2673,1484.921
20211003T000222.714Z,9.461,3.39963,97.316,31.2678,1484.92
20211003T000223.741Z,9.4607,3.39964,97.316,31.2681,1484.92
20211003T000224.719Z,9.4608,3.39963,97.316,31.2679,1484.92
20211003T000225.721Z,9.461,3.39964,97.315,31.2679,1484.921
20211003T000226.713Z,9.4612,3.39964,97.315,31.2676,1484.921
20211003T000227.751Z,9.4615,3.39965,97.315,31.2676,1484.922
20211003T000228.719Z,9.4619,3.39965,97.315,31.2671,1484.923
20211003T000229.747Z,9.4621,3.39965,97.316,31.267,1484.924
20211003T000230.714Z,9.4623,3.39965,97.315,31.2669,1484.924
20211003T000231.734Z,9.4625,3.39965,97.315,31.2667,1484.925
20211003T000232.717Z,9.4626,3.39965,97.315,31.2666,1484.925
20211003T000233.771Z,9.4628,3.39967,97.315,31.2666,1484.926
20211003T000234.715Z,9.463,3.39969,97.316,31.2666,1484.926
20211003T000235.719Z,9.4631,3.39969,97.315,31.2665,1484.927
20211003T000236.715Z,9.4632,3.3997,97.314,31.2666,1484.927
20211003T000237.716Z,9.4632,3.3997,97.315,31.2665,1484.927
20211003T000238.715Z,9.4632,3.39971,97.315,31.2666,1484.927
20211003T000239.737Z,9.4632,3.39972,97.316,31.2668,1484.927
20211003T000240.715Z,9.4633,3.39972,97.315,31.2667,1484.927
20211003T000241.728Z,9.4634,3.39973,97.316,31.2667,1484.928
20211003T000242.716Z,9.4636,3.39972,97.315,31.2664,1484.928
20211003T000243.716Z,9.4639,3.39971,97.315,31.266,1484.929
20211003T000244.715Z,9.4641,3.39971,97.315,31.266,1484.93
20211003T000245.728Z,9.4641,3.3997,97.315,31.2657,1484.929
20211003T000246.713Z,9.464,3.3997,97.314,31.2658,1484.929
20211003T000247.725Z,9.4639,3.39969,97.315,31.2659,1484.929
20211003T000248.715Z,9.4637,3.39968,97.316,31.2659,1484.928
20211003T000249.722Z,9.4635,3.39969,97.316,31.2662,1484.928
20211003T000250.715Z,9.4634,3.39969,97.315,31.2663,1484.927
20211003T000251.717Z,9.4634,3.39968,97.315,31.2662,1484.927
20211003T000252.714Z,9.4634,3.39968,97.315,31.2662,1484.927
20211003T000253.839Z,9.4636,3.39969,97.315,31.2662,1484.928
20211003T000254.713Z,9.4637,3.39969,97.315,31.266,1484.928
20211003T000255.777Z,9.4638,3.39969,97.316,31.266,1484.928
20211003T000256.728Z,9.4637,3.3997,97.315,31.2661,1484.928
20211003T000257.792Z,9.4637,3.39971,97.315,31.2663,1484.928
20211003T000258.713Z,9.4636,3.39973,97.315,31.2665,1484.928
20211003T000259.776Z,9.4636,3.39973,97.314,31.2666,1484.928
20211003T000300.715Z,9.4636,3.39972,97.315,31.2665,1484.928
20211003T000301.800Z,9.4634,3.39973,97.315,31.2667,1484.928
20211003T000302.715Z,9.4633,3.39973,97.315,31.2667,1484.928
20211003T000303.718Z,9.4633,3.39971,97.314,31.2666,1484.927
20211003T000304.715Z,9.4633,3.39971,97.314,31.2666,1484.927
20211003T000305.753Z,9.4631,3.39973,97.315,31.2669,1484.927
20211003T000306.715Z,9.463,3.39972,97.316,31.267,1484.927
20211003T000307.762Z,9.463,3.39973,97.315,31.267,1484.927
20211003T000308.715Z,9.463,3.39972,97.314,31.267,1484.927
20211003T000309.758Z,9.4629,3.39971,97.315,31.267,1484.926
20211003T000310.719Z,9.4627,3.39971,97.315,31.2671,1484.926
20211003T000311.719Z,9.4627,3.39972,97.316,31.2672,1484.926
20211003T000312.715Z,9.4626,3.39971,97.315,31.2672,1484.926
20211003T000313.753Z,9.4626,3.39971,97.314,31.2672,1484.926
20211003T000314.717Z,9.4627,3.39971,97.316,31.2671,1484.926
20211003T000315.813Z,9.4626,3.39972,97.314,31.2672,1484.926
20211003T000316.714Z,9.4626,3.39972,97.314,31.2673,1484.926
20211003T000317.726Z,9.4626,3.39971,97.314,31.2672,1484.925
20211003T000318.717Z,9.4624,3.39971,97.314,31.2674,1484.925
20211003T000319.759Z,9.4622,3.39971,97.314,31.2675,1484.924
20211003T000320.728Z,9.4619,3.39971,97.315,31.2678,1484.924
20211003T000321.735Z,9.4615,3.39971,97.314,31.2682,1484.923
20211003T000322.714Z,9.4611,3.39971,97.314,31.2685,1484.922
20211003T000323.795Z,9.4606,3.3997,97.314,31.2688,1484.92
20211003T000324.714Z,9.4602,3.39969,97.313,31.2691,1484.919
20211003T000325.746Z,9.4599,3.3997,97.314,31.2694,1484.919
20211003T000326.713Z,9.4597,3.39968,97.314,31.2694,1484.918
20211003T000327.775Z,9.4599,3.39968,97.313,31.2692,1484.918
20211003T000328.713Z,9.4603,3.39968,97.314,31.2689,1484.919
20211003T000329.733Z,9.4606,3.39966,97.314,31.2685,1484.92
20211003T000330.715Z,9.4607,3.39968,97.314,31.2685,1484.92
20211003T000331.768Z,9.4606,3.39967,97.314,31.2685,1484.92
20211003T000332.714Z,9.4605,3.39967,97.314,31.2687,1484.92
20211003T000333.721Z,9.4606,3.39967,97.313,31.2685,1484.92
20211003T000334.714Z,9.4608,3.39968,97.313,31.2684,1484.921
20211003T000335.858Z,9.4611,3.39969,97.313,31.2683,1484.921
20211003T000336.715Z,9.4613,3.39968,97.313,31.2681,1484.922
20211003T000337.715Z,9.4613,3.3997,97.313,31.2682,1484.922
20211003T000338.713Z,9.4615,3.3997,97.313,31.2681,1484.923
20211003T000339.721Z,9.4616,3.3997,97.314,31.2679,1484.923
20211003T000340.713Z,9.4617,3.3997,97.313,31.2679,1484.923
20211003T000341.731Z,9.4616,3.39969,97.313,31.2679,1484.923
20211003T000342.714Z,9.4615,3.39969,97.313,31.2679,1484.923
20211003T000343.766Z,9.4615,3.39969,97.313,31.2679,1484.923
20211003T000344.728Z,9.4616,3.3997,97.313,31.2679,1484.923
20211003T000345.807Z,9.4616,3.3997,97.313,31.2679,1484.923
20211003T000346.714Z,9.4616,3.3997,97.314,31.268,1484.923
20211003T000347.749Z,9.4617,3.3997,97.313,31.2679,1484.923
20211003T000348.716Z,9.4618,3.39971,97.313,31.2679,1484.924
20211003T000349.718Z,9.4617,3.3997,97.312,31.2678,1484.923
20211003T000350.714Z,9.4617,3.3997,97.313,31.2678,1484.923
20211003T000351.728Z,9.4618,3.3997,97.312,31.2678,1484.923
20211003T000352.713Z,9.4617,3.3997,97.313,31.2679,1484.923
20211003T000353.724Z,9.4617,3.3997,97.312,31.2678,1484.923
20211003T000354.715Z,9.4617,3.39969,97.313,31.2677,1484.923
20211003T000355.763Z,9.4618,3.3997,97.312,31.2678,1484.923
20211003T000356.719Z,9.4621,3.3997,97.312,31.2676,1484.924
20211003T000357.758Z,9.4625,3.3997,97.312,31.2672,1484.925
20211003T000358.713Z,9.4626,3.3997,97.313,31.2671,1484.926
20211003T000359.765Z,9.4625,3.39971,97.313,31.2673,1484.925
20211003T000400.716Z,9.4623,3.3997,97.312,31.2674,1484.925
